 CDTJune/30/2021 17:01:10:596,resultant_acc:0.996
 CDTJune/30/2021 17:01:10:704,xyz_acc:0.097 0.115 -0.973
 CDTJune/30/2021 17:01:10:718,resultant_acc:0.985
 CDTJune/30/2021 17:01:10:773,xyz_acc:0.205 0.067 -0.98
 CDTJune/30/2021 17:01:10:826,resultant_acc:1.003
 CDTJune/30/2021 17:01:10:857,xyz_acc:0.005 0.152 -0.95
 CDTJune/30/2021 17:01:10:866,resultant_acc:0.962
 CDTJune/30/2021 17:01:10:2,xyz_acc:0.076 0.139 -1.012
 CDTJune/30/2021 17:01:10:13,resultant_acc:1.024
 CDTJune/30/2021 17:01:11:73,xyz_acc:0.144 0.165 -0.973
 CDTJune/30/2021 17:01:11:96,resultant_acc:0.997
 CDTJune/30/2021 17:01:11:170,xyz_acc:0.123 0.162 -0.994
 CDTJune/30/2021 17:01:11:184,resultant_acc:1.015
 CDTJune/30/2021 17:01:11:300,xyz_acc:0.111 0.142 -0.992
 CDTJune/30/2021 17:01:11:317,resultant_acc:1.008
 CDTJune/30/2021 17:01:11:405,xyz_acc:0.122 0.161 -0.99
 CDTJune/30/2021 17:01:11:416,resultant_acc:1.01
 CDTJune/30/2021 17:01:11:467,xyz_acc:0.122 0.158 -0.988
 CDTJune/30/2021 17:01:11:507,resultant_acc:1.008
 CDTJune/30/2021 17:01:11:612,xyz_acc:0.118 0.177 -1.009
 CDTJune/30/2021 17:01:11:715,resultant_acc:1.031
 CDTJune/30/2021 17:01:11:718,xyz_acc:0.141 0.124 -0.964
 CDTJune/30/2021 17:01:11:720,resultant_acc:0.982
 CDTJune/30/2021 17:01:11:768,xyz_acc:0.12 0.136 -0.988
 CDTJune/30/2021 17:01:11:883,resultant_acc:1.005
 CDTJune/30/2021 17:01:11:913,xyz_acc:0.105 0.149 -0.993
 CDTJune/30/2021 17:01:11:915,resultant_acc:1.01
 CDTJune/30/2021 17:01:11:0,xyz_acc:0.161 0.123 -1.008
