CDTJune/15/2021 12:40:20:961,sleep:5852.0
 CDTJune/15/2021 12:41:00:587,xyz_acc:-0.287 -0.056 1.17
 CDTJune/15/2021 12:41:00:643,resultant_acc:1.206
 CDTJune/15/2021 12:41:00:651,xyz_acc:0.237 3.327 -6.903
 CDTJune/15/2021 12:41:00:652,resultant_acc:7.667
 CDTJune/15/2021 12:41:00:751,xyz_acc:-0.368 0.739 -0.311
 CDTJune/15/2021 12:41:00:779,resultant_acc:0.882
 CDTJune/15/2021 12:41:00:886,xyz_acc:-0.104 -0.277 0.546
 CDTJune/15/2021 12:41:00:938,resultant_acc:0.621
 CDTJune/15/2021 12:41:00:940,xyz_acc:0.514 0.858 -3.344
 CDTJune/15/2021 12:41:00:952,resultant_acc:3.49
 CDTJune/15/2021 12:41:00:78,xyz_acc:0.037 0.091 -0.902
 CDTJune/15/2021 12:41:00:91,resultant_acc:0.907
 CDTJune/15/2021 12:41:01:184,xyz_acc:0.1 0.219 -1.681
 CDTJune/15/2021 12:41:01:203,resultant_acc:1.698
 CDTJune/15/2021 12:41:01:262,xyz_acc:-0.045 -0.018 -0.99
 CDTJune/15/2021 12:41:01:277,resultant_acc:0.991
 CDTJune/15/2021 12:41:01:354,xyz_acc:0.028 -0.065 -1.071
 CDTJune/15/2021 12:41:01:370,resultant_acc:1.073
 CDTJune/15/2021 12:41:01:480,xyz_acc:0.062 -0.153 -0.966
 CDTJune/15/2021 12:41:01:545,resultant_acc:0.98
 CDTJune/15/2021 12:41:01:547,xyz_acc:0.034 -0.16 -0.97
 CDTJune/15/2021 12:41:01:563,resultant_acc:0.984
 CDTJune/15/2021 12:41:01:643,xyz_acc:0.035 -0.121 -0.983
 CDTJune/15/2021 12:41:01:657,resultant_acc:0.991
 CDTJune/15/2021 12:41:01:762,xyz_acc:0.038 -0.152 -0.969
 CDTJune/15/2021 12:41:01:839,resultant_acc:0.982
 CDTJune/15/2021 12:41:01:864,xyz_acc:0.026 -0.167 -0.976
 CDTJune/15/2021 12:41:01:867,resultant_acc:0.991
