 CDTJune/24/2021 12:37:32:774,resultant_acc:1.002
 CDTJune/24/2021 12:37:32:832,xyz_acc:-0.071 0.114 -0.992
 CDTJune/24/2021 12:37:32:948,resultant_acc:1.001
 CDTJune/24/2021 12:37:32:953,xyz_acc:-0.072 0.118 -0.991
 CDTJune/24/2021 12:37:32:965,resultant_acc:1.001
 CDTJune/24/2021 12:37:32:28,xyz_acc:-0.072 0.111 -0.991
 CDTJune/24/2021 12:37:32:59,resultant_acc:1.0
 CDTJune/24/2021 12:37:32:134,xyz_acc:-0.071 0.109 -0.992
 CDTJune/24/2021 12:37:32:235,resultant_acc:1.0
 CDTJune/24/2021 12:37:32:290,xyz_acc:-0.072 0.114 -0.995
 CDTJune/24/2021 12:37:32:291,resultant_acc:1.004
 CDTJune/24/2021 12:37:32:332,xyz_acc:-0.07 0.107 -0.993
 CDTJune/24/2021 12:37:32:355,resultant_acc:1.001
 CDTJune/24/2021 12:37:32:438,xyz_acc:-0.072 0.107 -0.99
 CDTJune/24/2021 12:37:32:439,resultant_acc:0.998
 CDTJune/24/2021 12:37:32:584,xyz_acc:-0.073 0.101 -0.988
 CDTJune/24/2021 12:37:32:586,resultant_acc:0.996
 CDTJune/24/2021 12:37:33:656,xyz_acc:-0.068 0.104 -0.986
 CDTJune/24/2021 12:37:33:690,resultant_acc:0.994
 CDTJune/24/2021 12:37:33:840,xyz_acc:-0.073 0.099 -0.985
 CDTJune/24/2021 12:37:33:842,resultant_acc:0.993
 CDTJune/24/2021 12:37:33:882,xyz_acc:-0.073 0.107 -0.994
 CDTJune/24/2021 12:37:33:883,resultant_acc:1.002
 CDTJune/24/2021 12:37:33:963,xyz_acc:-0.069 0.102 -0.993
 CDTJune/24/2021 12:37:33:964,resultant_acc:1.001
 CDTJune/24/2021 12:37:33:116,xyz_acc:-0.074 0.105 -0.988
 CDTJune/24/2021 12:37:33:118,resultant_acc:0.996
 CDTJune/24/2021 12:37:33:167,xyz_acc:-0.073 0.102 -0.996
 CDTJune/24/2021 12:37:33:201,resultant_acc:1.004
 CDTJune/24/2021 12:37:33:283,xyz_acc:-0.069 0.096 -0.989
 CDTJune/24/2021 12:37:33:284,resultant_acc:0.996
 CDTJune/24/2021 12:37:33:320,xyz_acc:-0.07 0.085 -0.993
 CDTJune/24/2021 12:37:33:365,resultant_acc:0.999
 CDTJune/24/2021 12:37:33:488,xyz_acc:-0.072 0.083 -0.989
 CDTJune/24/2021 12:37:33:490,resultant_acc:0.995
 CDTJune/24/2021 12:37:33:527,xyz_acc:-0.069 0.087 -0.993
 CDTJune/24/2021 12:37:33:570,resultant_acc:0.999
 CDTJune/24/2021 12:37:34:629,xyz_acc:-0.07 0.086 -0.989
 CDTJune/24/2021 12:37:34:645,resultant_acc:0.995
 CDTJune/24/2021 12:37:34:733,xyz_acc:-0.069 0.095 -1.0
 CDTJune/24/2021 12:37:34:830,resultant_acc:1.007
 CDTJune/24/2021 12:37:34:831,xyz_acc:-0.07 0.093 -0.993
 CDTJune/24/2021 12:37:34:865,resultant_acc:1.0
 CDTJune/24/2021 12:37:34:948,xyz_acc:-0.07 0.087 -0.987
 CDTJune/24/2021 12:37:34:950,resultant_acc:0.993
 CDTJune/24/2021 12:37:34:71,xyz_acc:-0.071 0.093 -0.996
 CDTJune/24/2021 12:37:34:72,resultant_acc:1.003
 CDTJune/24/2021 12:37:34:140,xyz_acc:-0.068 0.097 -0.987
 CDTJune/24/2021 12:37:34:141,resultant_acc:0.994
