 CDTJune/21/2021 15:34:31:530,resultant_acc:0.997
 CDTJune/21/2021 15:34:31:556,xyz_acc:-0.098 -0.377 -0.919
 CDTJune/21/2021 15:34:31:601,resultant_acc:0.998
 CDTJune/21/2021 15:34:31:602,xyz_acc:-0.093 -0.372 -0.922
 CDTJune/21/2021 15:34:31:618,resultant_acc:0.999
 CDTJune/21/2021 15:34:31:632,xyz_acc:-0.094 -0.374 -0.923
 CDTJune/21/2021 15:34:31:633,resultant_acc:1.0
 CDTJune/21/2021 15:34:31:635,xyz_acc:-0.092 -0.378 -0.92
 CDTJune/21/2021 15:34:31:635,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:674,xyz_acc:-0.095 -0.378 -0.918
 CDTJune/21/2021 15:34:32:701,resultant_acc:0.997
 CDTJune/21/2021 15:34:32:702,xyz_acc:-0.094 -0.368 -0.926
 CDTJune/21/2021 15:34:32:714,resultant_acc:1.001
 CDTJune/21/2021 15:34:32:721,xyz_acc:-0.094 -0.375 -0.921
 CDTJune/21/2021 15:34:32:807,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:810,xyz_acc:-0.092 -0.384 -0.918
 CDTJune/21/2021 15:34:32:863,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:864,xyz_acc:-0.091 -0.372 -0.922
 CDTJune/21/2021 15:34:32:906,resultant_acc:0.998
 CDTJune/21/2021 15:34:32:906,xyz_acc:-0.091 -0.381 -0.92
 CDTJune/21/2021 15:34:32:947,resultant_acc:1.0
 CDTJune/21/2021 15:34:32:948,xyz_acc:-0.092 -0.375 -0.918
 CDTJune/21/2021 15:34:32:972,resultant_acc:0.996
 CDTJune/21/2021 15:34:32:981,xyz_acc:-0.09 -0.372 -0.926
 CDTJune/21/2021 15:34:32:983,resultant_acc:1.002
 CDTJune/21/2021 15:34:32:998,xyz_acc:-0.093 -0.37 -0.924
 CDTJune/21/2021 15:34:32:42,resultant_acc:1.0
 CDTJune/21/2021 15:34:32:43,xyz_acc:-0.089 -0.375 -0.924
 CDTJune/21/2021 15:34:32:62,resultant_acc:1.001
 CDTJune/21/2021 15:34:32:64,xyz_acc:-0.093 -0.374 -0.922
 CDTJune/21/2021 15:34:32:163,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:164,xyz_acc:-0.09 -0.372 -0.922
 CDTJune/21/2021 15:34:32:168,resultant_acc:0.998
 CDTJune/21/2021 15:34:32:175,xyz_acc:-0.088 -0.376 -0.922
 CDTJune/21/2021 15:34:32:235,resultant_acc:1.0
 CDTJune/21/2021 15:34:32:235,xyz_acc:-0.087 -0.378 -0.919
 CDTJune/21/2021 15:34:32:254,resultant_acc:0.998
 CDTJune/21/2021 15:34:32:255,xyz_acc:-0.091 -0.366 -0.925
 CDTJune/21/2021 15:34:32:255,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:275,xyz_acc:-0.093 -0.369 -0.923
 CDTJune/21/2021 15:34:32:331,resultant_acc:0.998
 CDTJune/21/2021 15:34:32:347,xyz_acc:-0.092 -0.371 -0.923
 CDTJune/21/2021 15:34:32:348,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:396,xyz_acc:-0.089 -0.369 -0.921
 CDTJune/21/2021 15:34:32:413,resultant_acc:0.996
 CDTJune/21/2021 15:34:32:426,xyz_acc:-0.097 -0.365 -0.924
 CDTJune/21/2021 15:34:32:427,resultant_acc:0.998
 CDTJune/21/2021 15:34:32:427,xyz_acc:-0.09 -0.367 -0.926
 CDTJune/21/2021 15:34:32:431,resultant_acc:1.0
 CDTJune/21/2021 15:34:32:503,xyz_acc:-0.093 -0.371 -0.925
 CDTJune/21/2021 15:34:32:518,resultant_acc:1.001
 CDTJune/21/2021 15:34:32:529,xyz_acc:-0.092 -0.369 -0.923
 CDTJune/21/2021 15:34:32:530,resultant_acc:0.998
 CDTJune/21/2021 15:34:32:603,xyz_acc:-0.094 -0.356 -0.929
 CDTJune/21/2021 15:34:32:604,resultant_acc:0.999
 CDTJune/21/2021 15:34:32:604,xyz_acc:-0.259 -0.447 -0.857
 CDTJune/21/2021 15:34:32:605,resultant_acc:1.001
 CDTJune/21/2021 15:34:33:675,xyz_acc:-0.112 -0.335 -0.931
 CDTJune/21/2021 15:34:33:698,resultant_acc:0.996
 CDTJune/21/2021 15:34:33:780,xyz_acc:-0.082 -0.372 -0.923
 CDTJune/21/2021 15:34:33:797,resultant_acc:0.999
 CDTJune/21/2021 15:34:33:850,xyz_acc:-0.088 -0.384 -0.914
